gene	lnL	t	S	N	dN/dS	dN	dS	NG.dNdS	NG.dN	NG.dS
AT5G58005	-487.714258	0.0354	97.7	250.3	1.1416	0.0122	0.0107	0.8843	0.0112	0.0127
AT5G58010	-1212.468831	0.0036	304.4	586.6	0.001	0	0.0035	-1	0	0.0045
AT5G58020	-1591.662133	0.113	236.3	825.7	0.0843	0.011	0.1308	0.0929	0.0112	0.1204
AT5G58030	-868.935607	0.1163	154.2	430.8	0.0166	0.0023	0.1405	0.015	0.0022	0.1502
AT5G58040	-4268.106137	0.0634	690.2	2285.8	0.4426	0.0163	0.0369	0.4485	0.0163	0.0364
AT5G58060	-847.587631	0.0479	184.1	412.9	0.0538	0.0025	0.0462	0.0353	0.0022	0.0615
AT5G58070	-770.908442	0.0472	161.2	396.8	0.054	0.0026	0.0481	0.0382	0.0023	0.06
AT5G58090	-2041.819153	0.0421	328.2	1102.8	0.0745	0.0036	0.0489	0.0788	0.0037	0.0464
AT5G58100	-4062.559386	0.0497	775.3	2059.7	0.2381	0.0088	0.0371	0.1951	0.0083	0.0425
AT5G58110	-839.131698	0.0486	123.2	464.8	0.1239	0.0065	0.0526	0.145	0.0067	0.0459
AT5G58130	-3003.758746	0.095	506.6	1500.4	0.4862	0.025	0.0514	0.4478	0.0243	0.0542
AT5G58160	-4459.099626	0.0819	750.5	2249.5	0.3076	0.0175	0.0568	0.2988	0.0172	0.0575
AT5G58180	-870.515099	0.0629	152.9	444.1	0.3266	0.0137	0.042	0.2824	0.0131	0.0463
AT5G58190	-2193.346292	0.0318	400.2	1168.8	0.1975	0.0052	0.0264	0.1789	0.005	0.0279
AT5G58200	-1320.805819	0.0915	199.5	688.5	0.534	0.0255	0.0478	0.6053	0.0259	0.0428
AT5G58210	-1583.521625	0.1796	244.5	748.5	0.9063	0.0584	0.0644	0.9722	0.0582	0.0599
AT5G58240	-761.495535	0.0477	112.6	424.4	0.0816	0.0047	0.058	0.1003	0.0049	0.0488
AT5G58250	-951.003488	0.1084	187.3	442.7	0.1912	0.016	0.0837	0.148	0.0147	0.0995
AT5G58260	-918.765474	0.0791	177.8	449.2	0.0551	0.0045	0.0816	0.046	0.0042	0.0915
AT5G58270	-3082.010572	0.0412	581.2	1584.8	0.0759	0.0032	0.0424	0.0775	0.0034	0.0435
AT5G58280	-1327.833143	0.2259	177.7	620.3	0.3554	0.0536	0.1509	0.47	0.0576	0.1226
AT5G58290	-1715.353318	0.046	346.2	877.8	0.001	0.0001	0.054	-1	0	0.0612
AT5G58310	-1151.980649	0.0563	203.8	585.2	0.3083	0.0119	0.0386	0.2951	0.0116	0.0394
AT5G58320	-2274.93635	0.0639	399.2	1175.8	0.1285	0.0078	0.0609	0.1188	0.0078	0.066
AT5G58360	-1249.564812	0.1336	238.7	574.3	0.4738	0.0336	0.0709	0.3803	0.0313	0.0822
AT5G58370	-1756.205302	0.0507	319.9	916.1	0.144	0.0067	0.0462	0.1271	0.0064	0.0501
AT5G58410	-8236.896838	0.0733	1359.2	4211.8	0.4732	0.0192	0.0406	0.4959	0.0193	0.039
AT5G58430	-2649.346871	0.0437	528.8	1343.2	0.0485	0.0022	0.0459	0.0537	0.0028	0.0515
AT5G58440	-2554.927822	0.0742	484.8	1273.2	0.0387	0.0032	0.0815	0.0311	0.003	0.0951
AT5G58450	-4188.783997	0.0233	817.4	2191.6	0.6924	0.0069	0.01	0.546	0.0065	0.0118
AT5G58460	-3626.289668	0.0285	663.4	1916.6	0.0884	0.0026	0.0295	0.0832	0.0025	0.0305
AT5G58490	-1108.976665	0.0764	207.9	545.1	0.1769	0.0111	0.063	0.1481	0.0105	0.0709
AT5G58510	-4198.749233	0.0599	774.9	2114.1	0.1799	0.009	0.0499	0.1534	0.0085	0.0557
AT5G58550	-4024.543939	0.0558	690.7	2084.3	0.1639	0.0082	0.05	0.155	0.008	0.0517
AT5G58560	-1551.851301	0.2625	249.5	653.5	0.6144	0.0746	0.1214	0.6286	0.0744	0.1184
AT5G58580	-1251.545113	0.1187	216.5	602.5	0.3113	0.025	0.0802	0.3005	0.0244	0.0813
AT5G58590	-907.675051	0.0557	179.3	477.7	0.532	0.015	0.0281	0.3662	0.0136	0.0372
AT5G58600	-1756.65584	0.0684	315.3	881.7	0.0444	0.0034	0.077	0.0399	0.0033	0.0823
AT5G58610	-4597.090219	0.0882	727.9	2338.1	0.3283	0.0198	0.0603	0.3341	0.0198	0.0594
AT5G58620	-2766.622979	0.0983	478.9	1357.1	0.0883	0.0089	0.1005	0.0923	0.0094	0.1017
AT5G58640	-1028.927751	0.1172	199	473	0.1862	0.017	0.0914	0.1522	0.0159	0.1046
AT5G58650	-325.018827	0.0559	66.6	158.4	0.1359	0.0065	0.0476	0.1161	0.0061	0.0523
AT5G58670	-2444.918359	0.0697	390	1290	0.0664	0.0054	0.0821	0.0655	0.0054	0.0821
AT5G58680	-1501.43366	0.054	264.3	776.7	0.3175	0.0116	0.0367	0.3041	0.0114	0.0375
AT5G58690	-2511.089112	0.1218	392	1252	0.1829	0.0197	0.1075	0.1982	0.0206	0.1039
AT5G58700	-2572.144405	0.0618	414	1377	0.097	0.0065	0.0674	0.0989	0.0065	0.0656
AT5G58710	-849.738954	0.0308	180.6	431.4	0.001	0	0.0347	-1	0	0.0424
AT5G58720	-2354.04473	0.1446	328.8	1183.2	0.5469	0.0408	0.0747	0.6139	0.0413	0.0673
AT5G58730	-1271.281968	0.0848	229.9	634.1	0.3003	0.0174	0.0581	0.2637	0.0167	0.0633
AT5G58740	-659.700406	0.1136	79.8	355.2	0.1737	0.0202	0.1164	0.2613	0.0223	0.0852
AT5G58750	-1620.422898	0.0373	289.2	868.8	0.1825	0.0059	0.0322	0.1525	0.0055	0.0364
AT5G58760	-2428.215559	0.0619	338	1339	0.1958	0.0113	0.0576	0.2324	0.0116	0.0499
AT5G58770	-970.015113	0.0219	181.1	520.9	1.3812	0.0079	0.0057	1.1734	0.0074	0.0063
AT5G58782	-1266.329203	0.0633	191.5	675.5	0.1092	0.0075	0.069	0.206	0.0106	0.0514
AT5G58784	-1152.30463	0.1518	165.1	569.9	0.2496	0.0302	0.121	0.2646	0.0302	0.1141
AT5G58787	-1072.920858	0.0664	162	570	0.1663	0.0105	0.0631	0.1828	0.0106	0.0579
AT5G58870	-3403.72613	0.0517	589.4	1816.6	0.0453	0.0028	0.0618	0.0514	0.003	0.059
AT5G58890	-1274.941941	0.0721	194.7	675.3	0.3928	0.0179	0.0455	0.3856	0.0176	0.0457
AT5G58900	-810.461683	0.1265	137.9	381.1	1.1579	0.0437	0.0378	0.9322	0.0409	0.0439
AT5G58920	-672.599204	0.0594	94.5	391.5	0.0285	0.0026	0.0911	0.0317	0.0026	0.0825
AT5G58970	-1253.250132	0.0216	225.2	689.8	0.001	0	0.0292	-1	0	0.0272
AT5G59010	-2155.963263	0.0877	361.9	1105.1	0.016	0.0018	0.113	0.0153	0.0018	0.1159
AT5G59020	-3570.346046	0.1097	599	1732	0.5756	0.0308	0.0534	0.5057	0.0295	0.0584
AT5G59050	-1384.570955	0.0997	271	644	0.4935	0.0255	0.0516	0.3854	0.0236	0.0613
AT5G59070	-1854.17435	0.0282	395.1	915.9	0.4217	0.0066	0.0158	0.3077	0.006	0.0196
AT5G59080	-544.809126	0.0229	86.4	318.6	0.001	0	0.0356	-1	0	0.0301
AT5G59105	-339.947979	0.0122	84.2	167.8	99	0.0061	0.0001	-1	0.0051	0
AT5G59150	-947.166848	0.1027	186.1	464.9	0.0193	0.0022	0.1142	0.0152	0.002	0.1328
AT5G59160	-1287.091315	0.0173	211.7	724.3	0.066	0.0014	0.0208	0.0708	0.0014	0.0194
AT5G59180	-739.733032	0.0581	143.9	384.1	0.001	0.0001	0.0708	-1	0	0.0787
AT5G59190	-2749.575767	0.0654	489.8	1382.2	0.4206	0.016	0.0381	0.4003	0.0156	0.039
AT5G59200	-2157.906982	0.1619	289.2	1072.8	0.3381	0.0381	0.1127	0.4561	0.041	0.0899
AT5G59210	-1836.173465	0.0539	396.4	905.6	0.3494	0.0115	0.0328	0.2357	0.0102	0.0431
AT5G59250	-2418.280375	0.0544	490.2	1183.8	0.2422	0.0095	0.0391	0.2142	0.009	0.0419
AT5G59305	-303.514065	0	55.5	172.5	0.4018	0	0	-1	0	0
AT5G59310	-465.208006	0.0174	111.6	224.4	0.001	0	0.0174	-1	0	0.0232
AT5G59320	-466.837466	0	98.7	246.3	0.4019	0	0	-1	0	0
AT5G59340	-936.273396	0.0693	162.7	473.3	0.2436	0.0129	0.0528	0.2121	0.0123	0.0579
AT5G59350	-1189.021342	0.0366	199.8	652.2	0.073	0.0031	0.042	0.071	0.003	0.0428
AT5G59360	-662.53797	0.0665	83	376	1.7912	0.0241	0.0134	2.543	0.0255	0.01
AT5G59380	-659.268966	0.0943	127.7	310.3	0.3209	0.0194	0.0606	0.2586	0.0182	0.0704
AT5G59400	-1332.867311	0.0803	251.4	645.6	0.2027	0.0127	0.0628	0.1831	0.0122	0.0666
AT5G59410	-557.49177	0.0577	114.4	272.6	0.2843	0.011	0.0388	0.2256	0.0102	0.0452
AT5G59420	-1945.18599	0.0401	318.5	1052.5	0.113	0.0047	0.0419	0.1144	0.0047	0.041
AT5G59440	-1175.182126	0.0895	193.6	595.4	0.1135	0.0102	0.0901	0.1131	0.0101	0.0892
AT5G59450	-2677.550929	0.0672	439.2	1393.8	0.1008	0.0071	0.0708	0.1135	0.0078	0.0685
AT5G59460	-745.642751	0.0805	121.3	385.7	0.2768	0.0165	0.0597	0.2643	0.0165	0.0624
AT5G59470	-1002.954647	0.0354	171.4	545.6	0.3176	0.0078	0.0245	0.3821	0.0082	0.0215
AT5G59490	-1160.010852	0.0801	220.4	577.6	0.2342	0.014	0.0599	0.1809	0.013	0.0717
AT5G59500	-1713.166479	0.0713	297.6	890.4	0.0558	0.0045	0.0814	0.0532	0.0044	0.083
AT5G59510	-634.682816	0.1235	117	303	0.2186	0.0206	0.0944	0.2053	0.0207	0.1006
AT5G59520	-1553.948891	0.0824	301.4	745.6	0.3067	0.0166	0.0543	0.2711	0.016	0.0589
AT5G59560	-1200.686283	0.0621	173.1	657.9	0.2799	0.0135	0.0481	0.3544	0.014	0.0395
AT5G59590	-2185.229206	0.1981	374	973	0.278	0.0384	0.138	0.2221	0.0356	0.1603
AT5G59600	-1645.681642	0.0471	239.4	927.6	0.1972	0.0086	0.0434	0.2457	0.0088	0.036
AT5G59610	-1174.640145	0.0757	150.2	665.8	0.0387	0.0045	0.117	0.053	0.0048	0.0904
AT5G59720	-675.308505	0.0558	98.5	381.5	0.0781	0.0054	0.0696	0.1265	0.0067	0.0532
AT5G59740	-1490.014363	0.0593	282.8	749.2	0.1238	0.0067	0.0543	0.1066	0.0064	0.0598
AT5G59750	-2296.308384	0.1229	378.3	1136.7	0.0982	0.0124	0.1267	0.0991	0.0123	0.1241
AT5G59760	-980.680033	0.0649	175.5	496.5	0.3362	0.0143	0.0425	0.2947	0.0137	0.0464
AT5G59770	-1005.512118	0.1062	169.9	493.1	0.2849	0.0215	0.0756	0.2664	0.0209	0.0785
AT5G59780	-1036.304772	0.1714	150.9	497.1	0.7084	0.0521	0.0736	0.7198	0.0517	0.0719
AT5G59790	-1841.088018	0.059	372.1	896.9	0.1041	0.0056	0.0536	0.0767	0.0052	0.0672
AT5G59800	-1360.898539	0.0715	251.5	663.5	0.3333	0.0154	0.0461	0.2799	0.0145	0.0519
AT5G59810	-3416.759597	0.1021	592.3	1690.7	0.1151	0.0114	0.0987	0.1111	0.0111	0.0998
AT5G59820	-685.873994	0.0436	119	367	0.1313	0.0055	0.0422	0.122	0.0054	0.0445
AT5G59830	-1812.998821	0.0787	293.8	951.2	0.0705	0.0064	0.0905	0.0699	0.0063	0.0897
AT5G59840	-914.684057	0.0507	156	492	0.032	0.002	0.0638	0.0317	0.002	0.0632
AT5G59845	-387.878349	0.0574	68.1	198.9	0.4947	0.0152	0.0307	0.4322	0.0147	0.0339
AT5G59880	-605.962282	0.0699	114.5	302.5	0.1702	0.01	0.0585	0.1337	0.0093	0.0692
AT5G59890	-547.88467	0.0432	83.4	312.6	0.001	0.0001	0.0681	-1	0	0.0627
AT5G59900	-4184.928992	0.1397	650.1	2070.9	0.2664	0.0281	0.1054	0.2589	0.0275	0.106
AT5G59950	-737.227312	0.0487	126.1	404.9	0.001	0.0001	0.0681	-1	0	0.0627
AT5G59960	-1549.638494	0.0616	253.2	823.8	0.0145	0.0012	0.0834	0.0156	0.0012	0.0783
AT5G59980	-2603.618406	0.0651	422.4	1368.6	0.3529	0.0151	0.0429	0.3989	0.0156	0.039
AT5G59990	-533.075678	0.0314	104.1	282.9	1.0442	0.0106	0.0101	0.7757	0.0098	0.0127
AT5G60000	-674.267168	0.0919	122.8	324.2	0.4126	0.022	0.0533	0.3443	0.0207	0.0601
AT5G60010	-3900.157192	0.0857	729.6	1928.4	0.0324	0.0031	0.0959	0.0262	0.0029	0.1113
AT5G60020	-2491.029882	0.0486	509	1222	0.2454	0.0085	0.0347	0.1878	0.0079	0.0419
AT5G60030	-1088.698603	0.0951	183.2	602.8	0.3411	0.0218	0.0641	0.2835	0.0209	0.0739
AT5G60050	-2142.723533	0.0511	386.4	1113.6	0.0649	0.0036	0.0557	0.059	0.0035	0.0592
AT5G60100	-2284.807723	0.166	297.6	1142.4	0.5959	0.0485	0.0814	0.6945	0.0492	0.0709
AT5G60150	-5191.731595	0.097	797.3	2682.7	0.5953	0.028	0.047	0.6281	0.0279	0.0445
AT5G60160	-2082.899264	0.074	359.5	1071.5	0.0685	0.0056	0.0816	0.0654	0.0055	0.0835
AT5G60170	-4317.331412	0.0898	672.2	2213.8	0.2862	0.0189	0.0662	0.3041	0.019	0.0625
AT5G60210	-2323.851226	0.0529	469.8	1189.2	0.2131	0.0086	0.0405	0.1512	0.0079	0.0519
AT5G60250	-2214.635397	0.3941	258.5	956.5	0.5027	0.1085	0.2159	0.5454	0.1087	0.1992
AT5G60310	-3064.83215	0.3587	409.5	1288.5	0.5112	0.0972	0.1901	0.5744	0.099	0.1724
AT5G60330	-596.302122	0.0539	92.2	330.8	0.0426	0.003	0.0715	0.0516	0.0031	0.0607
AT5G60340	-959.420163	0.3781	122.9	408.1	0.5686	0.1072	0.1885	0.5757	0.1056	0.1834
AT5G60360	-1635.530172	0.1214	272.4	789.6	0.2257	0.0215	0.0953	0.2173	0.0213	0.0978
AT5G60370	-1836.869963	0.0945	302.9	915.1	0.2769	0.0191	0.069	0.2768	0.0189	0.0685
AT5G60380	-1547.151135	0.0534	275.7	810.3	0.0895	0.005	0.0555	0.0821	0.0048	0.0584
AT5G60400	-416.620491	0.0891	73.7	208.3	0.3328	0.0195	0.0586	0.2679	0.0183	0.0684
AT5G60410	-3647.186144	0.0296	673.7	1942.3	0.224	0.0052	0.0233	0.2012	0.005	0.0249
AT5G60440	-1217.06102	0.0469	201.7	671.3	0.1764	0.0075	0.0426	0.1576	0.0072	0.046
AT5G60460	-485.860483	0.1053	95.6	231.4	0.2344	0.0179	0.0766	0.2198	0.0173	0.0788
AT5G60470	-2087.672325	0.1366	360.8	980.2	0.6011	0.0386	0.0643	0.4749	0.0361	0.076
AT5G60540	-1112.147681	0.0631	224.3	540.7	0.1394	0.0075	0.0537	0.1157	0.007	0.0604
AT5G60553	-336.3112	0.053	50	187	0.2538	0.0109	0.0429	0.2996	0.0111	0.037
AT5G60570	-1652.085073	0.0548	315.5	842.5	0.1486	0.0071	0.048	0.1221	0.0067	0.0552
AT5G60580	-2107.173215	0.0597	379.5	1072.5	0.1142	0.0066	0.0576	0.1157	0.0065	0.0561
AT5G60590	-1235.411786	0.0879	223.4	613.6	0.0965	0.0084	0.0868	0.0872	0.008	0.0918
AT5G60600	-3146.630564	0.0412	655.3	1567.7	0.1807	0.0059	0.0325	0.1524	0.0057	0.0371
AT5G60615	-325.200951	0.0423	72.7	164.3	0.001	0	0.0459	-1	0	0.0601
AT5G60620	-1310.062381	0.0134	255.3	695.7	0.001	0	0.0166	-1	0	0.019
AT5G60630	-723.101531	0.8174	86.7	255.3	0.6377	0.2382	0.3734	0.6862	0.2343	0.3415
AT5G60650	-606.056553	0.0628	111	321	0.0425	0.0031	0.0725	0.0461	0.0031	0.0673
AT5G60690	-3559.328171	0.0275	647.3	1881.7	0.1492	0.0037	0.025	0.1437	0.0036	0.0253
AT5G60700	-4079.430927	0.0724	698.4	2097.6	0.0512	0.0043	0.0838	0.0476	0.0042	0.0875
AT5G60720	-3061.397938	0.0797	582.5	1493.5	0.2435	0.0142	0.0583	0.1965	0.0133	0.0676
AT5G60730	-1928.097956	0.2604	277.2	856.8	0.5604	0.0728	0.13	0.6024	0.0726	0.1205
AT5G60740	-4826.555959	0.0747	846.4	2480.6	0.0267	0.0024	0.0908	0.025	0.0024	0.0944
AT5G60750	-1533.268936	0.0869	322.2	718.8	0.0685	0.0056	0.0812	0.0523	0.0051	0.0973
AT5G60760	-3184.987595	0.0636	570	1635	0.1219	0.0074	0.0607	0.1063	0.0071	0.0666
AT5G60790	-2562.166017	0.064	420.9	1361.1	0.0829	0.0059	0.0712	0.0833	0.0058	0.07
AT5G60800	-1182.334899	0.0649	141.9	710.1	0.0577	0.0058	0.1007	0.0748	0.006	0.0803
AT5G60805	-465.983309	0.1671	64.8	247.2	0.1788	0.0285	0.1594	0.2204	0.029	0.1317
AT5G60820	-1401.298191	0.1128	208.6	769.4	0.1525	0.0172	0.1128	0.1587	0.0169	0.1067
AT5G60860	-905.067525	0.034	181.9	469.1	0.0618	0.0022	0.0349	0.0505	0.002	0.0399
AT5G60870	-1485.52176	0.0354	284	766	0.4939	0.0093	0.0187	0.4713	0.009	0.0191
AT5G60880	-1115.346097	0.0426	191.1	594.9	0.8188	0.0135	0.0165	0.7612	0.0132	0.0173
AT5G60890	-1295.546673	0.0879	207.9	668.1	0.2108	0.0155	0.0736	0.2229	0.0157	0.0705
AT5G60910	-1052.231259	0.0603	195.1	530.9	0.1956	0.0095	0.0488	0.1593	0.009	0.0564
AT5G60920	-1939.254067	0.0333	328.3	1039.7	0.0766	0.0029	0.0373	0.0803	0.0029	0.0356
AT5G60930	-5557.467579	0.0587	947.1	2928.9	0.1714	0.009	0.0524	0.1589	0.0087	0.055
AT5G60960	-2239.68769	0.0457	340.8	1225.2	0.3352	0.0107	0.0318	0.3742	0.0108	0.0289
AT5G60970	-1416.31743	0.0446	215.4	774.6	0.1907	0.0077	0.0405	0.2251	0.008	0.0353
AT5G60990	-1877.992733	0.0256	295.3	1069.7	0.0261	0.0009	0.0361	0.0306	0.001	0.0314
AT5G61010	-2285.68638	0.1274	404.5	1074.5	0.406	0.0303	0.0747	0.3344	0.0285	0.0853
AT5G61020	-2172.539545	0.0778	380.3	1113.7	0.2022	0.0129	0.064	0.1671	0.0121	0.0727
AT5G61040	-2783.670218	0.1558	419.6	1356.4	0.4099	0.0387	0.0945	0.3907	0.0378	0.0968
AT5G61060	-2901.806299	0.0723	489	1491	0.2224	0.0129	0.0582	0.2358	0.0133	0.0563
AT5G61090	-1889.129413	0.3322	253.4	802.6	0.753	0.1027	0.1363	0.8319	0.104	0.125
AT5G61110	-617.506973	0.0655	121.8	307.2	1.2545	0.0232	0.0185	1.0117	0.0213	0.0211
AT5G61120	-1681.293938	0.0743	273	867	0.3622	0.0174	0.0481	0.3871	0.0175	0.0452
AT5G61130	-844.150376	0.0302	132.8	470.2	0.1419	0.0043	0.0304	0.1608	0.0044	0.0274
AT5G61140	-8754.86176	0.0347	1515.2	4706.8	0.1001	0.0036	0.0362	0.0993	0.0036	0.036
AT5G61150	-2728.684366	0.0887	423.8	1475.2	0.204	0.0158	0.0774	0.2031	0.0156	0.0769
AT5G61170	-597.00338	0.0452	140.8	288.2	0.001	0	0.0458	-1	0	0.0599
AT5G61200	-1792.374098	0.3292	213.8	827.2	0.4692	0.089	0.1898	0.5481	0.0911	0.1663
AT5G61210	-1329.039275	0.081	198.3	701.7	0.1693	0.013	0.0766	0.1817	0.0131	0.0718
AT5G61220	-382.414978	0.0882	67.8	193.2	0.0535	0.0052	0.0981	0.0486	0.005	0.1037
AT5G61230	-754.248174	0.063	143.6	375.4	0.0384	0.0026	0.0689	0.0342	0.0026	0.0746
AT5G61240	-1355.607019	0.0156	221.9	756.1	0.1936	0.0027	0.0139	0.2148	0.0027	0.0126
AT5G61260	-2295.756672	0.1584	317.6	1176.4	0.4765	0.0428	0.0898	0.5339	0.0432	0.081
AT5G61270	-1617.394706	0.0895	284.1	804.9	0.1595	0.0126	0.0788	0.1402	0.012	0.0855
AT5G61280	-1095.542234	0.0549	175.8	613.2	0.5019	0.015	0.0298	0.4886	0.0147	0.03
AT5G61290	-1888.548688	0.0246	269.9	1101.1	0.0236	0.0009	0.038	0.0316	0.0009	0.0298
AT5G61300	-2511.714678	0.069	434.7	1272.3	0.5863	0.0195	0.0333	0.5454	0.019	0.0348
AT5G61310	-287.075648	0.1679	60.3	131.7	0.0477	0.0077	0.1615	0.0345	0.0069	0.1992
AT5G61320	-2109.200239	0.1124	374.1	1011.9	0.1537	0.0151	0.0981	0.1382	0.0147	0.1061
AT5G61330	-1048.566121	0.0697	179.8	549.2	0.1401	0.0092	0.0659	0.1242	0.0089	0.0713
AT5G61340	-1400.954001	0.0727	229.7	745.3	0.1304	0.0094	0.0723	0.1452	0.0096	0.0658
AT5G61360	-589.80444	0.1457	99.3	275.7	0.4717	0.0375	0.0794	0.4087	0.0354	0.0866
AT5G61370	-1492.673952	0.0405	284.9	771.1	0.2042	0.0066	0.0322	0.1586	0.0061	0.0387
AT5G61380	-2871.824954	0.1435	432.9	1421.1	0.2344	0.0271	0.1158	0.2435	0.0272	0.1118
AT5G61390	-1643.005994	0.1317	262.3	793.7	0.5562	0.0366	0.0659	0.5497	0.036	0.0655
AT5G61400	-2973.520736	0.0848	518.6	1479.4	0.4086	0.0205	0.0503	0.3546	0.0196	0.0554
AT5G61410	-1219.849193	0.0739	240.9	602.1	0.0684	0.005	0.0736	0.0576	0.0047	0.0821
AT5G61412	-274.919347	0.1055	58.6	142.4	0.6317	0.03	0.0476	0.3747	0.0261	0.0697
AT5G61420	-1616.635092	0.0627	286.4	823.6	0.1841	0.0097	0.0529	0.1537	0.0093	0.0603
AT5G61430	-1439.620279	0.0445	253.8	754.2	0.0847	0.004	0.0471	0.0757	0.0038	0.0507
AT5G61450	-1962.386856	0.0836	295.2	1045.8	0.1081	0.0099	0.0915	0.1254	0.0103	0.0822
AT5G61460	-4557.511492	0.07	750	2421	0.1247	0.0088	0.0704	0.1134	0.0085	0.075
AT5G61470	-1350.529064	0.117	185.1	708.9	0.3084	0.0266	0.0864	0.3618	0.0272	0.0753
AT5G61490	-1131.68202	0.0845	189.3	575.7	1.4577	0.0306	0.021	1.2935	0.0295	0.0228
AT5G61500	-1264.233283	0.0065	317.2	621.8	0.5116	0.0016	0.0032	0.2928	0.0014	0.0047
AT5G61510	-1776.971759	0.0767	325.6	877.4	0.2176	0.0129	0.0595	0.2117	0.0128	0.0607
AT5G61520	-2190.421643	0.0806	433.8	1054.2	0.1402	0.0096	0.0688	0.1183	0.009	0.0762
AT5G61530	-1349.051956	0.0725	258.6	668.4	0.086	0.0061	0.0709	0.0695	0.0057	0.0817
AT5G61540	-1526.056586	0.0819	254.6	774.4	0.6974	0.0246	0.0353	0.7336	0.0246	0.0335
AT5G61570	-1559.775332	0.1236	237.1	776.9	0.2651	0.025	0.0943	0.2883	0.0255	0.0884
AT5G61580	-2218.789958	0.0274	398.7	1191.3	0.3154	0.0059	0.0187	0.3073	0.0058	0.0188
AT5G61590	-843.846189	0.0611	148.2	439.8	0.1139	0.0069	0.0604	0.1139	0.0067	0.0591
AT5G61600	-1087.079339	0.1071	204.4	515.6	0.1835	0.0158	0.0859	0.1454	0.0147	0.1009
AT5G61605	-313.367053	0.1076	45.3	161.7	0.5952	0.0312	0.0525	0.7412	0.032	0.0432
AT5G61610	-1089.585898	0.2005	182.2	492.8	0.574	0.0557	0.097	0.5269	0.0536	0.1018
AT5G61620	-1370.182064	0.0519	262.9	697.1	0.3006	0.0106	0.0351	0.2579	0.0102	0.0396
AT5G61630	-640.511775	0.0681	119.5	321.5	0.041	0.0031	0.0754	0.0362	0.003	0.0819
AT5G61640	-859.776789	0.0359	165	441	0.1462	0.0046	0.0316	0.1167	0.0043	0.0368
AT5G61650	-915.355807	0.0294	142.3	517.7	0.1212	0.0038	0.0315	0.1319	0.0039	0.0292
AT5G61670	-1341.214246	0.0542	257.3	663.7	0.2842	0.0106	0.0373	0.2532	0.0102	0.0403
AT5G61680	-1410.429829	0.0311	285.3	728.7	0.001	0	0.0368	-1	0	0.0433
AT5G61700	-3260.684898	0.0104	758.4	1605.6	0.7825	0.0032	0.0041	0.5119	0.0028	0.0054
AT5G61710	-648.898461	0.0523	94.5	364.5	0.0834	0.0053	0.064	0.1035	0.0055	0.0535
AT5G61730	-4022.45998	0.0274	781.9	2080.1	0.2741	0.0053	0.0193	0.244	0.0051	0.0208
AT5G61740	-3621.747806	0.0327	638.4	1902.6	0.5598	0.0091	0.0163	0.5632	0.0091	0.0161
AT5G61750	-936.361621	0.0849	189.1	440.9	0.2902	0.0163	0.0563	0.2127	0.0148	0.0694
AT5G61760	-1365.445269	0.1057	220.8	679.2	0.2744	0.0214	0.0778	0.2701	0.0212	0.0786
AT5G61770	-1272.900669	0.0305	262.5	649.5	0.1247	0.0034	0.027	0.1171	0.0036	0.0307
AT5G61780	-3817.542346	0.03	754.1	2002.9	0.0643	0.002	0.0313	0.0571	0.0019	0.0336
AT5G61810	-2115.58848	0.087	357.4	1076.6	0.0926	0.0084	0.0909	0.0893	0.0082	0.0922
AT5G61820	-2055.958669	0.0603	330.7	1082.3	0.1452	0.0084	0.0582	0.1489	0.0084	0.0562
AT5G61830	-1405.158148	0.0817	223.8	724.2	0.1673	0.0125	0.0748	0.1793	0.0125	0.07
AT5G61840	-1882.666001	0.127	349.4	901.6	0.0152	0.0022	0.1458	0.0127	0.0021	0.1653
AT5G61850	-1841.261176	0.0685	314.1	945.9	0.1079	0.0075	0.0691	0.1051	0.0073	0.0698
AT5G61865	-1805.887347	0.0522	361.1	901.9	0.1191	0.0056	0.0469	0.0908	0.0052	0.0569
AT5G61880	-529.032428	0.1506	83.8	252.2	0.9149	0.0491	0.0536	0.7948	0.0465	0.0585
AT5G61890	-1059.293894	0.0604	150.5	581.5	0.2347	0.012	0.0513	0.2812	0.0124	0.0441
AT5G61900	-2422.891878	0.0931	436.4	1195.6	0.1028	0.0093	0.0905	0.0906	0.0089	0.0984
AT5G61910	-2232.059679	0.0666	365.9	1176.1	0.8039	0.021	0.0261	0.8542	0.0208	0.0244
AT5G61930	-1887.794009	0.1461	285.8	914.2	0.364	0.0344	0.0945	0.3763	0.0345	0.0916
AT5G61950	-4365.108298	0.078	657.3	2291.7	0.6269	0.023	0.0366	0.677	0.0231	0.0341
AT5G61960	-3898.217728	0.0547	656.7	2052.3	0.114	0.0063	0.0555	0.1129	0.0062	0.0553
AT5G61970	-2548.880732	0.0253	431.6	1392.4	0.2619	0.0051	0.0193	0.2648	0.005	0.019
AT5G61980	-3365.304496	0.0594	603.4	1742.6	0.0419	0.0029	0.0686	0.0372	0.0028	0.0743
AT5G61990	-4294.152716	0.0893	624.1	2288.9	0.6483	0.0267	0.0411	0.7765	0.0273	0.0351
AT5G62020	-1341.504733	0.1071	236.9	654.1	0.2287	0.0188	0.0823	0.1906	0.0177	0.093
AT5G62030	-1963.557487	0.0567	309.7	1049.3	0.135	0.0077	0.0569	0.1475	0.0077	0.0523
AT5G62040	-782.905719	0.0743	152.9	378.1	0.1192	0.0079	0.0665	0.1058	0.0076	0.0714
